environment,population,topology,sanctioning,rep,r,gini,compliance_rate,n_agents
triage,uniform_fair,clustered,off,rep8,0.3978401763304629,0.41086956521739126,0.87,20
triage,uniform_fair,clustered,on,rep1,0.16269784336399212,0.35687500000000005,0.8866666666666667,20
triage,uniform_fair,clustered,on,rep2,0.6275727955832777,0.26854636591478687,0.9566666666666667,20
triage,uniform_fair,clustered,on,rep3,0.33825051045228155,0.43399999999999994,0.89,20
triage,uniform_fair,clustered,on,rep4,0.5114820494565451,0.27602739726027403,0.8833333333333333,20
triage,uniform_fair,clustered,on,rep5,0.6495190528383289,0.3806666666666667,0.9066666666666666,20
triage,uniform_fair,clustered,on,rep6,0.4864674285591063,0.3944816053511706,0.8633333333333333,20
triage,uniform_fair,clustered,on,rep7,0.586963143821714,0.30284280936454855,0.8866666666666667,20
triage,uniform_fair,clustered,on,rep8,0.5793682156490016,0.42158774373259056,0.8933333333333333,20
triage,uniform_fair,scale_free,off,rep1,0.9836254871554605,0.5665,0.7933333333333333,20
triage,uniform_fair,scale_free,off,rep2,0.9843705624958701,0.5402010050251256,0.8466666666666667,20
triage,uniform_fair,scale_free,off,rep3,0.9532716485028656,0.5083333333333333,0.8433333333333334,20
triage,uniform_fair,scale_free,off,rep4,0.9589371766207512,0.607,0.86,20
triage,uniform_fair,scale_free,off,rep5,0.9479883388364548,0.5109999999999999,0.8733333333333333,20
triage,uniform_fair,scale_free,off,rep6,0.9792535427526295,0.5389999999999999,0.8433333333333334,20
triage,uniform_fair,scale_free,off,rep7,0.9588552864132427,0.4966666666666666,0.8866666666666667,20
triage,uniform_fair,scale_free,off,rep8,0.9676664151191863,0.4359090909090908,0.76,20
triage,uniform_fair,scale_free,on,rep1,0.9688481358435895,0.5284067085953879,0.8833333333333333,20
triage,uniform_fair,scale_free,on,rep2,0.958461530162168,0.5435933147632313,0.8266666666666667,20
triage,uniform_fair,scale_free,on,rep3,0.9783271172244363,0.5917808219178082,0.8366666666666667,20
triage,uniform_fair,scale_free,on,rep4,0.896882255925051,0.43161209068010065,0.8233333333333334,20
triage,uniform_fair,scale_free,on,rep5,0.9335888826500208,0.4944191343963553,0.8633333333333333,20
triage,uniform_fair,scale_free,on,rep6,0.9788681209856338,0.5272935779816514,0.8533333333333334,20
triage,uniform_fair,scale_free,on,rep7,0.9225607049803644,0.4981108312342568,0.8233333333333334,20
triage,uniform_fair,scale_free,on,rep8,0.9634336192438815,0.5664210526315789,0.8966666666666666,20
triage,mixed,fully_connected,off,rep1,,0.35599999999999987,0.49,20
triage,mixed,fully_connected,off,rep2,,0.3679999999999999,0.48,20
triage,mixed,fully_connected,off,rep3,,0.31666666666666665,0.49666666666666665,20
triage,mixed,fully_connected,off,rep4,,0.34599999999999986,0.48,20
triage,mixed,fully_connected,off,rep5,,0.3806666666666667,0.5,20
triage,mixed,fully_connected,off,rep6,,0.329375,0.48333333333333334,20
triage,mixed,fully_connected,off,rep7,,0.2727424749163878,0.45666666666666667,20
triage,mixed,fully_connected,off,rep8,,0.2826666666666666,0.49,20
triage,mixed,fully_connected,on,rep1,,0.3606666666666667,0.51,20
triage,mixed,fully_connected,on,rep2,,0.35399999999999987,0.51,20
triage,mixed,fully_connected,on,rep3,,0.3547021943573667,0.47333333333333333,20
triage,mixed,fully_connected,on,rep4,,0.2813333333333332,0.47333333333333333,20
triage,mixed,fully_connected,on,rep5,,0.34133333333333327,0.48,20
