section,a_no_b_no,a_no_b_yes,a_yes_b_no,a_yes_b_yes,ci_hi,ci_lo,classifier,coder,dimension,dominant_zone,dominant_zone_n,dominant_zone_weight,environment,kappa,mapping,mapping_desc,n,n_sample,p_hat_reweighted,population,raw_sample_prevalence,scope,sensitivity,specificity,weight_clear-none,weight_clear-specific,weight_grey,zone_clear-none_n,zone_clear-none_p,zone_clear-specific_n,zone_clear-specific_p,zone_grey_n,zone_grey_p
mapping,,,,,0.9328358208955223,0.3999999999999999,keyword,coder1,,,,,,0.7037037037037036,B,generic_network_language,36,,,,,triage/mixed,0.9259259259259259,0.7777777777777778,,,,,,,,,
mapping,,,,,0.2840716942847481,0.11720930232558135,keyword,coder1,,,,,,0.19428664177893207,C,specific_reference OR generic_network_language,146,,,,,overall,0.456,1.0,,,,,,,,,
mapping,,,,,0.0,0.0,keyword,coder1,,,,,,0.0,C,specific_reference OR generic_network_language,37,,,,,commons/uniform_fair,0.0,,,,,,,,,,
mapping,,,,,9.516197353929913e-17,-8.688701931849052e-17,keyword,coder1,,,,,,-8.326672684688674e-17,C,specific_reference OR generic_network_language,36,,,,,commons/mixed,0.0,1.0,,,,,,,,,
mapping,,,,,0.8933717579250723,0.0,keyword,coder1,,,,,,0.5487804878048778,C,specific_reference OR generic_network_language,37,,,,,triage/uniform_fair,0.8823529411764706,1.0,,,,,,,,,
mapping,,,,,1.0,0.4285714285714286,keyword,coder1,,,,,,0.7499999999999999,C,specific_reference OR generic_network_language,36,,,,,triage/mixed,0.9,1.0,,,,,,,,,
mapping,,,,,0.6577361018084393,0.3668440764833432,judge,coder1,,,,,,0.5194308770439585,A,specific_reference,146,,,,,overall,0.7619047619047619,0.7980769230769231,,,,,,,,,
mapping,,,,,1.0,1.0,judge,coder1,,,,,,1.0,A,specific_reference,37,,,,,commons/uniform_fair,,1.0,,,,,,,,,
mapping,,,,,0.32835820895522394,-0.19337016574585641,judge,coder1,,,,,,0.029411764705882477,A,specific_reference,36,,,,,commons/mixed,0.1,0.9230769230769231,,,,,,,,,
mapping,,,,,0.43706777316735834,0.01390498261877177,judge,coder1,,,,,,0.21079046424090347,A,specific_reference,37,,,,,triage/uniform_fair,0.9090909090909091,0.38461538461538464,,,,,,,,,
mapping,,,,,1.0,0.6012658227848101,judge,coder1,,,,,,0.8235294117647058,A,specific_reference,36,,,,,triage/mixed,1.0,0.8,,,,,,,,,
mapping,,,,,0.18819503849443964,0.0018031555221637463,judge,coder1,,,,,,0.09460963587215768,B,generic_network_language,146,,,,,overall,0.39669421487603307,0.8,,,,,,,,,
mapping,,,,,0.0,0.0,judge,coder1,,,,,,0.0,B,generic_network_language,37,,,,,commons/uniform_fair,0.0,,,,,,,,,,
mapping,,,,,0.22222222222222232,0.0,judge,coder1,,,,,,0.08695652173913039,B,generic_network_language,36,,,,,commons/mixed,0.125,1.0,,,,,,,,,
mapping,,,,,0.44539614561027846,-0.1490683229813663,judge,coder1,,,,,,0.12847965738758038,B,generic_network_language,37,,,,,triage/uniform_fair,0.7272727272727273,0.5,,,,,,,,,
